Time (sec),LeftHeel (m),RightHeel (m)
0,5.20883598137537,4.8069907837885
0.033,5.28320779663498,4.80638187155094
0.066,5.33921901229484,4.80606661962018
0.099,5.3746547121274,4.80344213459194
0.132,5.39095627739822,4.80931720854474
0.165,5.41982271871503,4.82870623500916
0.198,5.46859591885032,4.86453395609559
0.231,5.49618369264671,4.97834781325589
0.264,5.49306896653116,5.0642329676465
0.297,5.50410103622808,5.23192578587227
0.33,5.50858004107119,5.35792622304743
0.363,5.53117964713204,5.46531652818768
0.396,5.54810376402497,5.52581664655622
0.429,5.54398667596369,5.58223233777329
0.462,5.57143592564008,5.62214947738598
0.495,5.55691931694428,5.67227067062808
0.528,5.55629473504741,5.70681256463538
0.561,5.55033806019818,5.73322818736672
0.594,5.56040998014181,5.76447451765147
0.627,5.55628486898574,5.89415934724274
0.66,5.56705497291465,6.03059089667726
0.693,5.58082407304734,6.08515411509396
0.726,5.60333150373586,6.10940554334353
0.759,5.62652032975276,6.14631170089565
0.792,5.6925375526122,6.13424145157266
0.825,5.72131578597161,6.1489723491126
0.858,5.92056221807958,6.11101047979366
0.891,6.08883969918263,6.13935273446569
0.924,6.15554482479918,6.23986342469772
0.957,6.20482210380064,6.30651996145058
0.99,6.32979678664852,6.29571604130582
1.023,6.37637920378773,6.32048469123237
1.056,6.43147012023255,6.29889736584021
1.089,6.443042612259,6.28309679178248
1.122,6.54546792817763,6.28205014052497
1.155,6.56900156064232,6.28646684269027
1.188,6.74813949657655,6.29067250285901
1.221,6.82291669100777,6.28686015684312
1.254,6.83456897733704,6.29196672819128
1.287,6.86372049858568,6.30440373604326
1.32,6.86108776281586,6.32048223327291
1.353,6.85440047420293,6.35610836828071
1.386,6.94200186465617,6.41592091796051
1.419,6.9687561064736,6.51491343318533
1.452,7.01515681908956,6.58781907911267
1.485,7.07044228404635,6.81343945299513
1.518,7.05900204262809,6.88610006618027
1.551,7.06246125890803,6.94535226472681
1.584,7.13211417072708,7.07652809148039
1.617,7.10528854308054,7.08211104815263
1.65,7.16095915278529,7.21355540609702
1.683,7.12380697851956,7.21048788029627
1.716,7.10312335691736,7.27805000757369
1.749,7.10015853966089,7.36126764872749
1.782,7.09361907728538,7.36519963432869
1.815,7.13261129165264,7.47405029444887
1.848,7.13387558544676,7.52604438752454
1.881,7.14601011340005,7.51052601496607
1.914,7.18154732954704,7.59542231077111
1.947,7.2053315525707,7.63252771875328
1.98,7.20102233134661,7.65731612035447
2.013,7.3445209545104,7.64220433180598
2.046,7.61972607264904,7.62743832149876
2.079,7.5607157772145,7.69050791927227
2.112,7.71228067718294,7.81525566258479
2.145,7.82171269064525,7.86740874112393
2.178,7.86004241432869,7.84488307785452
2.211,7.91756902009857,7.79629545118236
2.244,7.96134331140682,7.79153932818356
2.277,7.94513931583043,7.77935803322583
2.31,7.99820633370939,7.77046260308637
2.343,8.10842881724038,7.78279243556178
2.376,8.24007206615051,7.80024329498609
2.409,8.31698453040227,7.80971192900652
2.442,8.37972365390528,7.84205188665358
2.475,8.39215175151747,7.85123901147218
2.508,8.40205262490682,7.87702120229168
2.541,8.46245638749025,7.90259777185583
2.574,8.49014525230389,8.00964746807528
2.607,8.510866474724,8.11351305456466
2.64,8.55990121310082,8.305033921404
2.673,8.58492548106967,8.44174166760528
2.706,8.57339624317778,8.58081522605497
2.739,8.55610240974175,8.65641124708827
2.772,8.57637096421909,8.66986701683096
2.805,8.55376919472289,8.65100911080698
2.838,8.54042771540871,8.67290879735488
2.871,8.53819325368298,8.73531431746192
2.904,8.53325353976443,8.81264651920579
2.937,8.54876536951221,8.8942744624248
2.97,8.57823051051248,8.90920621909315
3.003,8.60116007976899,8.93560072357767
3.036,8.77689775952645,8.88041255860297
3.069,8.72323608673212,8.9456429671722
3.102,8.69611779531882,9.01690461050862
3.135,8.71199792451063,8.99921773097747
3.168,8.82083194043314,9.0840062147791
3.201,9.00558227201669,9.14432525490077
3.234,9.24042767026958,9.08434312322914
3.267,9.29824566223223,9.20701631894666
3.3,9.41354724786079,9.30611007203874
3.333,9.3568541803456,9.27315751151561
3.366,9.43414819513444,9.2913384411739
3.399,9.42644908083547,9.30362636712634
3.432,9.49050515756942,9.29523811717938
3.465,9.51839611008275,9.36647223521723
3.498,9.60266272532257,9.38069726131646
3.531,9.74319176553629,9.38853593872495
3.564,9.87093551258858,9.42150820631677
3.597,9.90840750060326,9.42941472917475
3.63,9.90750575371588,9.44708978904011
3.663,9.90274903461151,9.44320744381558
3.696,9.98967131455568,9.45322501556981
3.729,10.0246335350577,9.55013170350151
3.762,10.0516195557896,9.55926802930893
3.795,10.0143185747046,9.66203595552191
3.828,10.0817149285757,9.84399082025262
3.861,10.0558782458817,9.93470576836408
3.894,10.0358161483559,9.9593526538299
3.927,10.0403847674187,10.0594077371331
3.96,10.0706391441415,10.1209841526846
3.993,10.0661344661578,10.1575522577988
4.026,10.1035789700325,10.2754129547079
4.059,10.0905907840803,10.3653931417621
4.092,10.0744207394555,10.4221658519521
4.125,10.0731765184222,10.4418333971116
4.158,10.0694231022313,10.5398668399618
4.191,10.0646064114344,10.5224259225752
4.224,10.1287682055376,10.5830981911944
4.257,10.1360148605866,10.6090360339639
4.29,10.2496570119949,10.6362481896216
4.323,10.3000927376127,10.689889431753
4.356,10.5433616515696,10.7541001529859
4.389,10.7238518808603,10.6879027160265
4.422,10.9032759069726,10.8696802202507
4.455,10.9558072744374,10.8985807781694
4.488,10.9247514441123,10.8336672496293
4.521,10.9212182808259,10.8446306330679
4.554,10.9256832403621,10.8158094619812
4.587,10.9760291345667,10.8119518944014
4.62,10.9769878076016,10.8088287397109
4.653,10.9436784499389,10.8018164233927
4.686,11.1783242099757,10.8282651431603
4.719,11.1890297137674,10.8744783797506
4.752,11.162498557502,10.8995344047773
4.785,11.3649182603756,10.9240986228327
4.818,11.4063561438227,10.9421705963081
4.851,11.5246332571752,10.9680163896962
4.884,11.5194059395652,11.0264495212369
4.917,11.4292563679551,11.1214713872601
4.95,11.4249217897598,11.3902946716819
4.983,11.5115883342807,11.649106518844
5.016,11.503252303707,11.718344758571
5.049,11.5430351680779,11.7940753165412
5.082,11.5572037401501,11.7238058333357
5.115,11.5496657624272,11.7574428907705
5.148,11.5431808598117,11.744884579735
5.181,11.5408079440239,11.7385743250631
5.214,11.5318171629663,11.898196305103
5.247,11.5299205740284,11.8943844729452
5.28,11.5420558835213,11.8852262638487
5.313,11.6135759012198,11.9544391104987
5.346,11.628060823015,12.0459131678789
5.379,11.7524641960224,12.2098003215864
5.412,11.8069255962733,12.1441456010144
5.445,11.9201986103177,12.0960304788652
5.478,11.9919176311624,12.206147352986
5.511,12.4665334515431,12.1784459816878
5.544,12.3310889779409,12.1877367831014
5.577,12.3292397807993,12.3186033935444
5.61,12.5390923644457,12.317367774454
5.643,12.5310523151551,12.415898593122
5.676,12.6082387932579,12.3937305952091
5.709,12.5724196686696,12.3676997529933
5.742,12.5400833739762,12.3567930343506
5.775,12.6459653729158,12.4056649889496
5.808,12.7484510782839,12.4533694169502
5.841,12.8200812969932,12.4641886524155
5.874,12.8998308933356,12.4786942929201
5.907,12.9392939695475,12.4681565339317
5.94,12.952568153244,12.4941488842818
5.973,13.0568325160057,12.516488331088
6.006,13.1252308343603,12.5397523229753
6.039,13.0786466620563,12.6446045596812
6.072,13.0859810608766,12.9114000045019
6.105,13.0778120686766,13.0543401547932
6.138,13.0725078590969,13.1548214713248
6.171,13.1066939988502,13.2300393174827
6.204,13.100497819207,13.2243957442799
6.237,13.123306810359,13.2517206758604
6.27,13.1100625810835,13.2171904976026
6.303,13.1177713217967,13.3271892809633
6.336,13.137255288156,13.3864231912589
6.369,13.096325393905,13.389685123101
6.402,13.099612931908,13.5156183831988
6.435,13.1342207211478,13.6323993398997
6.468,13.1496136182902,13.6460943227167
6.501,13.1752595228701,13.6845449841017
6.534,13.1975195372762,13.6782515812232
6.567,13.3315285925316,13.6910669394612
6.6,13.3241876702711,13.7363458700092
6.633,13.4303224737483,13.7545350508907
6.666,13.8606788186751,13.8686484898488
6.699,13.9593046884643,13.9095787800941
6.732,14.1005325392973,13.885089342069
6.765,14.2483951066382,13.8910214467014
6.798,14.3046251769332,13.8705253926899
6.831,14.1083165277786,13.8562684962351
6.864,14.0458865246106,13.8499054412323
6.897,14.0275270480322,13.8470476819591
6.93,13.9982421677383,13.8440991319666
6.963,13.9917648613571,13.8411819486163
6.996,14.0385942052951,13.8533528383033
7.029,14.0419900331559,13.8539968823114
7.062,14.1363689583724,13.8728677638741
7.095,14.3840380081689,13.9245144169863
7.128,14.5221611177867,13.9654789490162
7.161,14.5227652701352,14.0098067910453
7.194,14.5871310556625,14.0493723206172
7.227,14.812599960848,14.4013890353656
7.26,14.6926038742031,14.3849829789594
7.293,14.7030088926559,14.6756599624537
7.326,14.6727230840123,14.5809444890777
7.359,14.6378509654515,14.6308663776889
7.392,14.6231282063397,14.7086527532586
7.425,14.6249295629535,14.747861287488
7.458,14.6161288824516,14.730581867426
7.491,14.6185458187548,14.7789768915788
7.524,14.6160272064019,14.8349918177032
7.557,14.5584036835144,15.0109209536597
7.59,14.5520657928018,15.0833291396831
7.623,14.5553101044955,15.0905074613077
7.656,14.6364278547146,15.2098659499751
7.689,14.6600452459453,15.2216915715807
7.722,14.7355073035167,15.2600270486909
7.755,14.9192755927263,15.1952110855663
7.788,14.9965717194229,15.1694871559032
7.821,15.1748925563945,15.1888566339052
7.854,15.5927092011202,15.2154950507611
7.887,15.5403718071489,15.2663014215919
7.92,15.745282105555,15.351603251847
7.953,15.7191788398339,15.3623672393593
7.986,15.6356474356463,15.3866529701599
8.019,15.5915380143133,15.392371585619
8.052,15.6007941048188,15.3933598617103
8.085,15.5823126362366,15.3799699416085
8.118,15.6756094841113,15.3934841719399
8.151,15.6352713308057,15.3962946992692
8.184,15.6805540728437,15.3918805609957
8.217,15.8790620147289,15.4425907818624
8.25,15.9815345427627,15.4546172693901
8.283,16.0257285817619,15.5052341080818
8.316,16.0513916456979,15.5429609210912
8.349,16.0549608942531,15.643489453023
8.382,16.0280560670683,15.818127072954
8.415,16.0872847657558,16.2366992511302
8.448,16.0519444951418,16.247124700035
8.481,16.0329224973284,16.3425151367313
8.514,16.1666830662509,16.4980800781877
8.547,16.1433453608819,16.3319330947917
8.58,16.1246216377794,16.2885422802002
8.613,16.1128033376334,16.2577846644594
8.646,16.1046422822959,16.2804244610217
8.679,16.1201027239111,16.3714472028932
8.712,16.1282265908004,16.3891117205394
8.745,16.1358811471473,16.4884199541984
8.778,16.177874893868,16.6364913994451
8.811,16.1716449378086,16.7089719160761
8.844,16.2463825188714,16.7085073024561
8.877,16.440065044099,16.7748199397604
8.91,16.448195162517,16.8989858979273
8.943,16.7851318385208,16.9465735728016
8.976,16.8850220290331,16.8718275022377
9.009,16.9980847347329,16.8314172184426
9.042,16.9907625694608,16.8403637368949
9.075,16.9151416951123,16.8243912438069
9.108,16.9338106084994,16.8124740768848
9.141,16.9974097596392,16.8089008520455
9.174,16.9852282196288,16.8126371065881
9.207,16.9862938163635,16.807543836414
9.24,17.0274617654054,16.8057734180451
9.273,17.1179634802343,16.8221704661372
9.306,17.1974093706512,16.8690653281394
9.339,17.2358957928795,16.8972311089674
9.372,17.2593820999156,16.891860061056
9.405,17.4188488993836,16.8899888116637
9.438,17.4985095226715,16.9766166587359
9.471,17.5579245300115,17.0495404864841
9.504,17.5843987258216,17.2555125108971
9.537,17.5255286658601,17.5068905953513
9.57,17.551285821282,17.7407728026967
9.603,17.5566742507319,17.7867361705525
9.636,17.5663476561404,17.8708562159538
9.669,17.5859564086995,17.8070288296923
9.702,17.6237656626413,17.7860471721252
9.735,17.6481556704771,17.7978971139542
9.768,17.6848361159968,17.8329657254592
9.801,17.6673237656121,17.8295994121748
9.834,17.6649201331871,17.9505349479945
9.867,17.6232548533473,17.9951918175527
9.9,17.6439819020543,17.94365175004
9.933,17.6402146097025,18.0797380306554
9.966,17.7669194306342,18.3602352972884
9.999,17.7559929764827,18.3239017416752
10.032,17.9756171051377,18.2123209849558
10.065,17.9498964180812,18.1851659726464
10.098,18.4322582031674,18.2304086146002
10.131,18.8738044924081,18.3322337019773
10.164,18.8672073802264,18.3085605057024
10.197,18.6477405571463,18.2977531002587
10.23,18.5462487592777,18.3374017344208
10.263,18.5361858965288,18.3477236471321
10.296,18.5357186401317,18.3846872749389
10.329,18.5060603821318,18.3867861823773
10.362,18.3991346254409,18.4126613230411
10.395,18.5050321366103,18.4985231515206
10.428,18.4871230823166,18.2391958085906
10.461,18.4558433147448,18.3064146523657
10.494,18.522323652767,18.3855098381286
10.527,18.5075546256046,18.4516937879733
10.56,18.6739420213867,18.5314392180499
10.593,18.7288849878417,18.5414318094127
10.626,18.7606004203429,18.5586066412601
10.659,18.8495007713731,18.7578684480617
10.692,18.8609782252776,19.0733164089795
10.725,18.871858142916,19.2256647169089
10.758,18.8649605160585,19.4417666156897
10.791,19.0195551441927,19.7042730765029
10.824,18.9799383008994,19.4295651368775
10.857,18.9743465062093,19.3152292683047
10.89,18.9935812660271,19.2700527230123
10.923,19.0168689695457,19.2407859507382
10.956,19.0405398360753,19.3021642348501
10.989,19.029994488316,19.4244607796888
11.022,19.0018481337301,19.5547650577464
11.055,18.9977469415523,19.5202133775067
11.088,19.0302452211406,19.5579977247311
11.121,19.0484922574161,19.7293107628134
11.154,19.3191799755751,19.790794439411
11.187,19.3225111167796,19.7430854942755
11.22,19.7300133506253,19.6996310051324
11.253,20.0628829800511,19.6995539809166
11.286,19.9775347655243,19.7095939597849
11.319,20.1780955985798,19.7373486074906
11.352,20.1445894744816,19.7328634266424
11.385,20.1353143136308,19.7231611652585
11.418,20.1669436627803,19.7288166501369
11.451,20.086738157713,19.7450451573539
11.484,20.0540182134848,19.756396617822
11.517,20.061157777505,19.7772138121488
11.55,20.0982173230586,19.7799943143658
11.583,20.1980189322867,19.8268842250875
11.616,20.1769234477067,19.8346931355769
11.649,20.1606687455307,19.9138825995391
11.682,20.4824340279856,19.9256580363509
11.715,20.5950222451411,20.1587218485897
11.748,20.5050432862918,20.1490680246337
11.781,20.5415490878833,20.4109904639311
11.814,20.5480900953204,20.7274484349596
11.847,20.5353812119819,21.0631371437817
11.88,20.5132509346421,21.0604141063788
11.913,20.5187904739262,21.2030810003308
11.946,20.5091093690041,21.1934821121743
11.979,20.5029956495325,21.0252098631826
12.012,20.50207882504,20.7435285743242
12.045,20.6026009399322,20.7336552751865
12.078,20.5853323463531,20.7237828491383
12.111,20.645962914638,20.7955720703286
12.144,20.6479121548328,20.9852142762372
12.177,20.6389736677406,20.9899962619766
