Frame,Timestamp,Stride_cm,Stride_ft,Planted_Leg,LeftHeelStatus,RightHeelStatus
3866,06/03/2025 04:02:31,5.0,0.16,right,MOVING,MOVING
3867,06/03/2025 04:02:31,7.8,0.26,left,MOVING,MOVING
3868,06/03/2025 04:02:31,9.7,0.32,right,MOVING,MOVING
3869,06/03/2025 04:02:31,11.8,0.39,right,STILL,STILL
3870,06/03/2025 04:02:31,13.2,0.43,right,STILL,STILL
3871,06/03/2025 04:02:31,14.1,0.46,right,STILL,STILL
3872,06/03/2025 04:02:31,16.1,0.53,right,STILL,STILL
3873,06/03/2025 04:02:31,17.2,0.56,right,STILL,STILL
3874,06/03/2025 04:02:31,14.3,0.47,right,STILL,MOVING
3875,06/03/2025 04:02:31,15.2,0.50,right,STILL,STILL
3876,06/03/2025 04:02:31,13.8,0.45,right,STILL,STILL
3877,06/03/2025 04:02:32,14.1,0.46,right,STILL,STILL
3878,06/03/2025 04:02:32,14.0,0.46,right,STILL,STILL
3879,06/03/2025 04:02:32,11.5,0.38,right,STILL,STILL
3880,06/03/2025 04:02:32,11.0,0.36,right,STILL,STILL
3881,06/03/2025 04:02:32,7.8,0.26,right,STILL,MOVING
3882,06/03/2025 04:02:32,6.3,0.21,right,STILL,STILL
3883,06/03/2025 04:02:32,5.8,0.19,left,STILL,MOVING
3884,06/03/2025 04:02:32,6.6,0.22,left,STILL,MOVING
3885,06/03/2025 04:02:32,6.9,0.23,left,STILL,STILL
3886,06/03/2025 04:02:32,9.9,0.32,left,STILL,MOVING
3887,06/03/2025 04:02:32,10.3,0.34,left,STILL,STILL
3888,06/03/2025 04:02:32,10.8,0.35,left,STILL,STILL
3889,06/03/2025 04:02:32,11.1,0.36,left,STILL,STILL
3890,06/03/2025 04:02:32,13.0,0.43,left,STILL,STILL
3891,06/03/2025 04:02:32,19.1,0.63,left,MOVING,STILL
3892,06/03/2025 04:02:32,21.3,0.70,left,STILL,STILL
3893,06/03/2025 04:02:32,22.3,0.73,left,STILL,STILL
3894,06/03/2025 04:02:32,22.0,0.72,left,STILL,STILL
3895,06/03/2025 04:02:32,21.7,0.71,left,STILL,STILL
3896,06/03/2025 04:02:32,20.5,0.67,left,STILL,STILL
3897,06/03/2025 04:02:32,20.3,0.67,left,STILL,STILL
3898,06/03/2025 04:02:32,15.6,0.51,left,MOVING,STILL
3899,06/03/2025 04:02:32,9.7,0.32,left,MOVING,STILL
3900,06/03/2025 04:02:32,7.6,0.25,left,MOVING,STILL
3901,06/03/2025 04:02:32,7.0,0.23,left,STILL,STILL
3902,06/03/2025 04:02:32,6.7,0.22,right,MOVING,STILL
3903,06/03/2025 04:02:32,7.0,0.23,right,MOVING,STILL
3904,06/03/2025 04:02:32,8.4,0.27,right,STILL,STILL
3905,06/03/2025 04:02:32,9.3,0.31,right,STILL,STILL
3906,06/03/2025 04:02:32,10.2,0.33,right,STILL,STILL
3907,06/03/2025 04:02:33,10.9,0.36,right,STILL,STILL
3908,06/03/2025 04:02:33,11.9,0.39,right,STILL,STILL
3909,06/03/2025 04:02:33,11.9,0.39,right,STILL,STILL
3910,06/03/2025 04:02:33,15.8,0.52,right,STILL,MOVING
3911,06/03/2025 04:02:33,19.6,0.64,right,STILL,MOVING
3912,06/03/2025 04:02:33,22.9,0.75,right,STILL,STILL
3913,06/03/2025 04:02:33,24.1,0.79,right,STILL,STILL
3914,06/03/2025 04:02:33,24.8,0.81,right,STILL,STILL
3915,06/03/2025 04:02:33,23.7,0.78,right,STILL,STILL
3916,06/03/2025 04:02:33,22.8,0.75,right,STILL,STILL
3917,06/03/2025 04:02:33,20.0,0.66,right,STILL,MOVING
3918,06/03/2025 04:02:33,12.4,0.41,right,STILL,MOVING
3919,06/03/2025 04:02:33,9.0,0.29,right,STILL,MOVING
3920,06/03/2025 04:02:33,7.3,0.24,right,STILL,STILL
3921,06/03/2025 04:02:33,6.6,0.22,left,STILL,MOVING
3922,06/03/2025 04:02:33,7.6,0.25,left,STILL,STILL
3923,06/03/2025 04:02:33,8.9,0.29,left,STILL,STILL
3924,06/03/2025 04:02:33,8.5,0.28,left,STILL,STILL
3925,06/03/2025 04:02:33,10.5,0.34,left,STILL,MOVING
3926,06/03/2025 04:02:33,10.2,0.33,left,STILL,STILL
3927,06/03/2025 04:02:33,8.7,0.29,left,STILL,STILL
3928,06/03/2025 04:02:33,10.2,0.33,left,STILL,STILL
3929,06/03/2025 04:02:33,10.8,0.35,left,STILL,STILL
3930,06/03/2025 04:02:33,13.4,0.44,left,STILL,STILL
3931,06/03/2025 04:02:33,16.4,0.54,left,STILL,STILL
3932,06/03/2025 04:02:33,19.0,0.62,left,STILL,STILL
3933,06/03/2025 04:02:33,21.1,0.69,left,STILL,STILL
3934,06/03/2025 04:02:33,22.7,0.75,left,STILL,STILL
3935,06/03/2025 04:02:33,23.9,0.79,left,STILL,STILL
3936,06/03/2025 04:02:33,23.5,0.77,left,STILL,STILL
3937,06/03/2025 04:02:34,22.9,0.75,left,STILL,STILL
3938,06/03/2025 04:02:34,22.4,0.73,left,STILL,STILL
3939,06/03/2025 04:02:34,15.5,0.51,left,MOVING,STILL
3940,06/03/2025 04:02:34,10.5,0.34,left,MOVING,STILL
3941,06/03/2025 04:02:34,8.4,0.27,left,MOVING,STILL
3942,06/03/2025 04:02:34,9.3,0.31,right,MOVING,STILL
3943,06/03/2025 04:02:34,9.4,0.31,right,STILL,STILL
3944,06/03/2025 04:02:34,10.9,0.36,right,STILL,STILL
3945,06/03/2025 04:02:34,12.0,0.40,right,STILL,STILL
3946,06/03/2025 04:02:34,15.0,0.49,right,STILL,STILL
3947,06/03/2025 04:02:34,16.1,0.53,right,STILL,STILL
3948,06/03/2025 04:02:34,16.9,0.55,right,STILL,STILL
3949,06/03/2025 04:02:34,19.6,0.64,right,STILL,MOVING
3950,06/03/2025 04:02:34,20.2,0.66,right,STILL,STILL
3951,06/03/2025 04:02:34,22.5,0.74,right,STILL,STILL
3952,06/03/2025 04:02:34,23.5,0.77,right,STILL,STILL
3953,06/03/2025 04:02:34,25.3,0.83,right,STILL,STILL
3954,06/03/2025 04:02:34,25.6,0.84,right,STILL,STILL
3955,06/03/2025 04:02:34,25.1,0.82,right,STILL,STILL
3956,06/03/2025 04:02:34,23.7,0.78,right,STILL,STILL
3957,06/03/2025 04:02:34,21.7,0.71,right,STILL,STILL
3958,06/03/2025 04:02:34,17.2,0.56,right,STILL,MOVING
3959,06/03/2025 04:02:34,12.5,0.41,right,STILL,MOVING
3960,06/03/2025 04:02:34,8.4,0.27,right,STILL,MOVING
3961,06/03/2025 04:02:34,7.6,0.25,left,STILL,MOVING
3962,06/03/2025 04:02:34,8.6,0.28,left,STILL,MOVING
3963,06/03/2025 04:02:34,11.1,0.36,left,STILL,MOVING
3964,06/03/2025 04:02:34,12.0,0.39,left,STILL,MOVING
3965,06/03/2025 04:02:34,11.9,0.39,left,STILL,STILL
3966,06/03/2025 04:02:34,13.1,0.43,left,STILL,STILL
3967,06/03/2025 04:02:35,16.4,0.54,left,MOVING,STILL
3968,06/03/2025 04:02:35,17.4,0.57,left,STILL,STILL
3969,06/03/2025 04:02:35,20.4,0.67,left,STILL,STILL
3970,06/03/2025 04:02:35,21.4,0.70,left,STILL,STILL
3971,06/03/2025 04:02:35,22.1,0.72,left,STILL,STILL
3972,06/03/2025 04:02:35,22.4,0.73,left,STILL,STILL
3973,06/03/2025 04:02:35,23.8,0.78,left,STILL,STILL
3974,06/03/2025 04:02:35,23.9,0.78,left,STILL,STILL
3975,06/03/2025 04:02:35,23.1,0.76,left,STILL,STILL
3976,06/03/2025 04:02:35,20.7,0.68,left,MOVING,STILL
3977,06/03/2025 04:02:35,15.8,0.52,left,MOVING,STILL
3978,06/03/2025 04:02:35,10.6,0.35,left,MOVING,STILL
3979,06/03/2025 04:02:35,8.7,0.28,left,MOVING,STILL
3980,06/03/2025 04:02:35,8.7,0.29,right,MOVING,STILL
3981,06/03/2025 04:02:35,9.4,0.31,right,MOVING,STILL
3982,06/03/2025 04:02:35,12.3,0.40,right,MOVING,STILL
3983,06/03/2025 04:02:35,13.1,0.43,right,STILL,STILL
3984,06/03/2025 04:02:35,15.8,0.52,right,MOVING,STILL
3985,06/03/2025 04:02:35,20.5,0.67,right,STILL,MOVING
3986,06/03/2025 04:02:35,21.3,0.70,right,STILL,STILL
3987,06/03/2025 04:02:35,21.0,0.69,right,STILL,STILL
3988,06/03/2025 04:02:35,21.9,0.72,right,STILL,STILL
3989,06/03/2025 04:02:35,22.0,0.72,right,STILL,STILL
3990,06/03/2025 04:02:35,21.6,0.71,right,STILL,STILL
3991,06/03/2025 04:02:35,24.3,0.80,right,STILL,STILL
3992,06/03/2025 04:02:35,26.9,0.88,right,STILL,STILL
3993,06/03/2025 04:02:35,29.4,0.96,right,STILL,STILL
3994,06/03/2025 04:02:35,28.4,0.93,right,STILL,STILL
3995,06/03/2025 04:02:35,27.6,0.91,right,STILL,STILL
3996,06/03/2025 04:02:35,22.1,0.73,right,STILL,MOVING
3997,06/03/2025 04:02:36,14.2,0.47,right,STILL,MOVING
3998,06/03/2025 04:02:36,11.1,0.36,right,STILL,MOVING
3999,06/03/2025 04:02:36,9.0,0.30,left,STILL,MOVING
4000,06/03/2025 04:02:36,9.9,0.32,left,STILL,MOVING
4001,06/03/2025 04:02:36,13.3,0.44,left,STILL,MOVING
4002,06/03/2025 04:02:36,13.7,0.45,left,STILL,MOVING
4003,06/03/2025 04:02:36,15.4,0.50,left,STILL,MOVING
4004,06/03/2025 04:02:36,14.4,0.47,left,STILL,STILL
4005,06/03/2025 04:02:36,15.6,0.51,left,STILL,STILL
4006,06/03/2025 04:02:36,16.8,0.55,left,STILL,STILL
4007,06/03/2025 04:02:36,17.2,0.56,left,STILL,STILL
4008,06/03/2025 04:02:36,18.0,0.59,left,STILL,STILL
4009,06/03/2025 04:02:36,23.0,0.75,left,MOVING,STILL
4010,06/03/2025 04:02:36,27.0,0.89,left,MOVING,STILL
4011,06/03/2025 04:02:36,28.0,0.92,left,STILL,STILL
4012,06/03/2025 04:02:36,27.7,0.91,left,STILL,STILL
4013,06/03/2025 04:02:36,27.5,0.90,left,STILL,STILL
