Frame,Timestamp,Stride_m,Stride_ft,Planted_Leg,LeftHeelStatus,RightHeelStatus
3866,06/03/2025 04:02:31,0.126,0.41,right,MOVING,MOVING
3867,06/03/2025 04:02:31,0.069,0.23,left,MOVING,MOVING
3868,06/03/2025 04:02:31,0.157,0.52,left,MOVING,MOVING
3869,06/03/2025 04:02:31,0.183,0.60,right,MOVING,MOVING
3870,06/03/2025 04:02:31,0.283,0.93,left,MOVING,MOVING
3871,06/03/2025 04:02:31,0.287,0.94,left,MOVING,MOVING
3872,06/03/2025 04:02:31,0.352,1.16,left,MOVING,STILL
3873,06/03/2025 04:02:31,0.324,1.06,right,MOVING,MOVING
3874,06/03/2025 04:02:31,0.346,1.14,left,MOVING,MOVING
3875,06/03/2025 04:02:31,0.314,1.03,right,MOVING,MOVING
3876,06/03/2025 04:02:31,0.230,0.75,right,MOVING,MOVING
3877,06/03/2025 04:02:32,0.204,0.67,right,STILL,MOVING
3878,06/03/2025 04:02:32,0.246,0.81,right,MOVING,MOVING
3879,06/03/2025 04:02:32,0.180,0.59,right,MOVING,MOVING
3880,06/03/2025 04:02:32,0.298,0.98,right,STILL,MOVING
3881,06/03/2025 04:02:32,0.265,0.87,right,MOVING,MOVING
3882,06/03/2025 04:02:32,0.250,0.82,right,MOVING,MOVING
3883,06/03/2025 04:02:32,0.186,0.61,right,STILL,MOVING
3884,06/03/2025 04:02:32,0.222,0.73,right,MOVING,MOVING
3885,06/03/2025 04:02:32,0.227,0.74,right,MOVING,MOVING
3886,06/03/2025 04:02:32,0.262,0.86,right,MOVING,MOVING
3887,06/03/2025 04:02:32,0.345,1.13,right,MOVING,MOVING
3888,06/03/2025 04:02:32,0.385,1.26,right,MOVING,MOVING
3889,06/03/2025 04:02:32,0.424,1.39,right,MOVING,STILL
3890,06/03/2025 04:02:32,0.449,1.47,right,MOVING,MOVING
3891,06/03/2025 04:02:32,0.439,1.44,left,MOVING,MOVING
3892,06/03/2025 04:02:32,0.434,1.42,left,MOVING,MOVING
3893,06/03/2025 04:02:32,0.481,1.58,left,MOVING,MOVING
3894,06/03/2025 04:02:32,0.465,1.53,left,MOVING,MOVING
3895,06/03/2025 04:02:32,0.423,1.39,left,MOVING,MOVING
3896,06/03/2025 04:02:32,0.368,1.21,left,MOVING,MOVING
3897,06/03/2025 04:02:32,0.387,1.27,left,MOVING,MOVING
3898,06/03/2025 04:02:32,0.327,1.07,left,MOVING,MOVING
3899,06/03/2025 04:02:32,0.170,0.56,left,MOVING,STILL
3900,06/03/2025 04:02:32,0.153,0.50,left,MOVING,STILL
3901,06/03/2025 04:02:32,0.115,0.38,left,MOVING,MOVING
3902,06/03/2025 04:02:32,0.114,0.37,right,MOVING,STILL
3903,06/03/2025 04:02:32,0.124,0.41,right,MOVING,STILL
3904,06/03/2025 04:02:32,0.136,0.45,right,MOVING,STILL
3905,06/03/2025 04:02:32,0.155,0.51,right,MOVING,MOVING
3906,06/03/2025 04:02:32,0.218,0.71,left,MOVING,MOVING
3907,06/03/2025 04:02:33,0.238,0.78,left,MOVING,MOVING
3908,06/03/2025 04:02:33,0.303,0.99,left,MOVING,MOVING
3909,06/03/2025 04:02:33,0.284,0.93,right,MOVING,MOVING
3910,06/03/2025 04:02:33,0.360,1.18,right,MOVING,MOVING
3911,06/03/2025 04:02:33,0.380,1.25,right,MOVING,MOVING
3912,06/03/2025 04:02:33,0.394,1.29,right,STILL,MOVING
3913,06/03/2025 04:02:33,0.372,1.22,right,MOVING,MOVING
3914,06/03/2025 04:02:33,0.353,1.16,right,MOVING,MOVING
