Frame,Timestamp,Stride_cm,Stride_ft,Planted_Leg,Stationary_Heel
3874,06/03/2025 04:02:31,14.3,0.47,right,left
3881,06/03/2025 04:02:32,7.8,0.26,right,left
3883,06/03/2025 04:02:32,5.8,0.19,left,left
3884,06/03/2025 04:02:32,6.6,0.22,left,left
3886,06/03/2025 04:02:32,9.9,0.32,left,left
3891,06/03/2025 04:02:32,19.1,0.63,left,right
3898,06/03/2025 04:02:32,15.6,0.51,left,right
3899,06/03/2025 04:02:32,9.7,0.32,left,right
3900,06/03/2025 04:02:32,7.6,0.25,left,right
3902,06/03/2025 04:02:32,6.7,0.22,right,right
3903,06/03/2025 04:02:32,7.0,0.23,right,right
3910,06/03/2025 04:02:33,15.8,0.52,right,left
3911,06/03/2025 04:02:33,19.6,0.64,right,left
3917,06/03/2025 04:02:33,20.0,0.66,right,left
3918,06/03/2025 04:02:33,12.4,0.41,right,left
3919,06/03/2025 04:02:33,9.0,0.29,right,left
3921,06/03/2025 04:02:33,6.6,0.22,left,left
3925,06/03/2025 04:02:33,10.5,0.34,left,left
3939,06/03/2025 04:02:34,15.5,0.51,left,right
3940,06/03/2025 04:02:34,10.5,0.34,left,right
3941,06/03/2025 04:02:34,8.4,0.27,left,right
3942,06/03/2025 04:02:34,9.3,0.31,right,right
3949,06/03/2025 04:02:34,19.6,0.64,right,left
3958,06/03/2025 04:02:34,17.2,0.56,right,left
3959,06/03/2025 04:02:34,12.5,0.41,right,left
3960,06/03/2025 04:02:34,8.4,0.27,right,left
3961,06/03/2025 04:02:34,7.6,0.25,left,left
3962,06/03/2025 04:02:34,8.6,0.28,left,left
3963,06/03/2025 04:02:34,11.1,0.36,left,left
3964,06/03/2025 04:02:34,12.0,0.39,left,left
3967,06/03/2025 04:02:35,16.4,0.54,left,right
3976,06/03/2025 04:02:35,20.7,0.68,left,right
3977,06/03/2025 04:02:35,15.8,0.52,left,right
3978,06/03/2025 04:02:35,10.6,0.35,left,right
3979,06/03/2025 04:02:35,8.7,0.28,left,right
3980,06/03/2025 04:02:35,8.7,0.29,right,right
3981,06/03/2025 04:02:35,9.4,0.31,right,right
3982,06/03/2025 04:02:35,12.3,0.40,right,right
3984,06/03/2025 04:02:35,15.8,0.52,right,right
3985,06/03/2025 04:02:35,20.5,0.67,right,left
3996,06/03/2025 04:02:35,22.1,0.73,right,left
3997,06/03/2025 04:02:36,14.2,0.47,right,left
3998,06/03/2025 04:02:36,11.1,0.36,right,left
3999,06/03/2025 04:02:36,9.0,0.30,left,left
4000,06/03/2025 04:02:36,9.9,0.32,left,left
4001,06/03/2025 04:02:36,13.3,0.44,left,left
4002,06/03/2025 04:02:36,13.7,0.45,left,left
4003,06/03/2025 04:02:36,15.4,0.50,left,left
4009,06/03/2025 04:02:36,23.0,0.75,left,right
4010,06/03/2025 04:02:36,27.0,0.89,left,right
4015,06/03/2025 04:02:36,24.2,0.79,left,right
4016,06/03/2025 04:02:36,18.1,0.59,left,right
4017,06/03/2025 04:02:36,12.1,0.40,left,right
4018,06/03/2025 04:02:36,12.5,0.41,left,right
4019,06/03/2025 04:02:36,13.0,0.43,right,right
4020,06/03/2025 04:02:36,15.3,0.50,right,right
4021,06/03/2025 04:02:36,16.3,0.53,right,right
4022,06/03/2025 04:02:36,20.2,0.66,right,right
4023,06/03/2025 04:02:36,24.3,0.80,right,right
4025,06/03/2025 04:02:36,27.9,0.92,right,left
4035,06/03/2025 04:02:37,29.9,0.98,right,left
4036,06/03/2025 04:02:37,23.8,0.78,right,left
4037,06/03/2025 04:02:37,10.7,0.35,right,left
4038,06/03/2025 04:02:37,9.1,0.30,left,left
4039,06/03/2025 04:02:37,12.5,0.41,left,left
4040,06/03/2025 04:02:37,17.7,0.58,left,left
4042,06/03/2025 04:02:37,21.4,0.70,left,left
4043,06/03/2025 04:02:37,24.8,0.81,left,left
4048,06/03/2025 04:02:37,29.4,0.97,left,right
4049,06/03/2025 04:02:37,34.1,1.12,left,right
4052,06/03/2025 04:02:37,35.3,1.16,left,right
4055,06/03/2025 04:02:37,31.3,1.03,left,right
4056,06/03/2025 04:02:37,23.0,0.76,left,right
4057,06/03/2025 04:02:38,12.6,0.41,left,right
4058,06/03/2025 04:02:38,12.7,0.42,right,right
4059,06/03/2025 04:02:38,17.4,0.57,right,right
4060,06/03/2025 04:02:38,28.4,0.93,right,right
