Frame,Timestamp,Stride_m,Stride_ft,Planted_Leg,Stationary_Heel
3874,06/03/2025 04:02:31,0.143,0.47,right,left
3881,06/03/2025 04:02:32,0.078,0.26,right,left
3883,06/03/2025 04:02:32,0.058,0.19,left,left
3884,06/03/2025 04:02:32,0.066,0.22,left,left
3886,06/03/2025 04:02:32,0.099,0.32,left,left
3891,06/03/2025 04:02:32,0.191,0.63,left,right
3898,06/03/2025 04:02:32,0.156,0.51,left,right
3899,06/03/2025 04:02:32,0.097,0.32,left,right
3900,06/03/2025 04:02:32,0.076,0.25,left,right
3902,06/03/2025 04:02:32,0.067,0.22,right,right
3903,06/03/2025 04:02:32,0.070,0.23,right,right
3910,06/03/2025 04:02:33,0.158,0.52,right,left
3911,06/03/2025 04:02:33,0.196,0.64,right,left
3917,06/03/2025 04:02:33,0.200,0.66,right,left
3918,06/03/2025 04:02:33,0.124,0.41,right,left
3919,06/03/2025 04:02:33,0.090,0.29,right,left
3921,06/03/2025 04:02:33,0.066,0.22,left,left
